Order Number,Product Name,Order Type,Product Cost,Cash on Delivery,Product Unavailable Flag,Multi Mode TraNosport Flag,Speed Delivery Flag,Remote Location,Multi Hop Delivery,Product Size
4096177,Product B,New,901.21,Y,Y,Y,N,N,Y,Large
3125347,Product B,New,2739.18,N,Y,Y,N,N,Y,Medium
2403225,Product C,New,1649.54,Y,Y,Y,Y,N,Y,Large
2396540,Product C,Additional,853.14,Y,N,Y,N,N,N,Large
4026894,Product B,Additional,722.2,Y,N,Y,N,N,N,Large
4029977,Product B,New,446,N,N,Y,N,N,N,Large
2220919,Product B,Additional,875.35,N,Y,Y,N,N,Y,Large
2703967,Product B,New,1938.41,Y,N,N,N,N,N,Medium
3564572,Product A,Additional,670.15,Y,Y,N,N,Y,Y,Large
2440856,Product B,Additional,483.3,N,Y,Y,N,N,Y,Large
2505991,Product B,Additional,1053.63,N,Y,Y,N,N,N,Small-Medium
2054677,Product B,New,950,N,Y,Y,N,N,Y,Large
2440107,Product C,Additional,1248.7,Y,N,Y,N,N,N,Medium
3680754,Product C,Additional,495,Y,Y,Y,N,Y,Y,Large
1895000,Product C,Additional,485.01,Y,Y,Y,N,N,Y,Large
2396510,Product B,Additional,892,Y,N,Y,N,N,N,Medium
3069819,Product B,New,599.4,N,Y,Y,N,N,Y,Large
2545851,Product C,Additional,1226.3,Y,N,Y,N,N,N,Large
3631543,Product D,New,3464.2,Y,N,Y,N,N,N,Medium
3579827,Product B,New,2916.2,N,N,Y,N,N,N,Medium
2866580,Product C,Additional,2173.27,Y,N,Y,N,N,N,Medium
3200753,Product B,Additional,1472.04,N,Y,Y,N,N,Y,Large
3592526,Product B,Additional,521.9,Y,N,Y,N,N,N,Large
3306182,Product B,Additional,674.24,N,Y,N,N,N,Y,Large
3731367,Product A,Additional,480,N,Y,Y,N,N,Y,Large
2096608,Product B,New,793.2,Y,N,Y,N,N,N,Large
2598515,Product B,New,1300.43,N,N,Y,N,N,N,Large
2354241,Product B,Additional,2905.6,Y,N,Y,N,N,N,Medium
3659683,Product B,New,398.29,N,Y,N,N,N,N,Small-Medium
2468236,Product C,Additional,999,Y,Y,Y,N,N,Y,Large
2428259,Product B,Additional,557.7,Y,N,Y,N,N,N,Medium
3267044,Product A,Additional,2257,N,N,Y,N,N,N,Small
4020755,Product A,New,175,Y,N,Y,N,N,N,Large
3092273,Product B,New,478,Y,N,Y,N,N,N,Large
2469036,Product C,Additional,541.55,Y,Y,Y,N,N,Y,Large
1932907,Product A,Additional,1873.2,N,Y,N,N,N,Y,Large
1439884,Product B,New,375,Y,N,Y,N,N,N,Large
2984175,Product D,New,1992,Y,N,Y,N,N,N,Medium
3234467,Product A,New,847.04,N,N,Y,N,N,N,Large
3184112,Product B,New,827,Y,Y,Y,N,N,Y,Large
1807983,Product C,Additional,485.01,Y,Y,Y,N,N,Y,Large
3834275,Product B,New,375,Y,N,Y,N,N,N,Large
3564186,Product A,New,637.6,Y,N,Y,N,N,N,Medium
2163278,Product A,New,4001.34,Y,N,Y,N,N,N,Medium
3580491,Product B,Additional,959.73,N,Y,Y,N,Y,Y,Large
2625327,Product B,New,480,N,N,Y,N,N,N,Large
1888864,Product B,New,273.23,Y,N,Y,N,N,N,Large
3234607,Product B,New,833.5,N,N,Y,N,N,N,Large
4067705,Product A,Additional,1133.95,N,Y,Y,N,N,Y,Large
2339297,Product C,Additional,1554.74,Y,Y,Y,N,Y,Y,Large
3166618,Product B,New,181.8,Y,N,Y,N,N,N,Large
1723254,Product B,Additional,737.09,N,Y,Y,N,N,N,Large
4131856,Product B,Additional,746.48,N,Y,Y,N,N,Y,Large
3032044,Product A,New,433.34,N,Y,Y,N,N,Y,Large
1362424,Product C,Additional,485.02,Y,Y,Y,N,N,Y,Large
3564769,Product A,New,3000,N,N,N,N,Y,N,Medium
2506602,Product C,Additional,485.02,Y,Y,Y,N,N,Y,Large
3446025,Product B,New,802,Y,N,N,N,N,N,Medium
3788118,Product C,New,1162,Y,Y,Y,N,N,Y,Large
3118661,Product B,New,789,Y,Y,Y,N,N,Y,Large
1918082,Product B,Additional,1979.11,N,Y,Y,N,N,Y,Medium
3522144,Product B,New,858.6,N,N,Y,N,N,N,Medium
3157969,Product B,New,1276.6,Y,N,Y,N,N,N,Medium
2157554,Product B,New,1195,N,Y,Y,N,N,N,Small-Medium
2708348,Product B,New,5891.99,N,N,Y,N,N,N,Small
3585518,Product C,Additional,1360.27,Y,Y,Y,N,N,Y,Large
2253469,Product B,Additional,678.6,Y,N,Y,N,N,N,Large
3600226,Product C,Additional,1379.69,Y,N,N,N,N,N,Large
3309373,Product B,Additional,1304.63,N,Y,Y,N,N,Y,Medium
3736200,Product C,Additional,710.08,Y,N,Y,N,Y,N,Large
3130283,Product B,Additional,575,N,Y,Y,N,Y,Y,Large
2883361,Product B,Additional,466.6,Y,N,Y,N,N,N,Large
3301132,Product A,New,1125,Y,N,N,N,N,N,Large
3267520,Product A,Additional,96.98,N,N,Y,Y,N,N,Medium
2990576,Product A,New,1177.04,N,Y,Y,N,N,N,Large
3376930,Product A,Additional,1011,N,Y,Y,N,N,Y,Large
3069763,Product C,Additional,1199,Y,Y,Y,N,N,Y,Large
3128346,Product A,New,332.5,N,N,Y,N,N,N,Medium
2186857,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
1440149,Product B,New,375,N,Y,Y,N,N,Y,Large
1706887,Product C,Additional,485.02,Y,Y,Y,N,Y,Y,Large
3037606,Product B,Additional,375,N,Y,Y,N,N,Y,Large
3234470,Product A,New,1691.92,Y,N,Y,N,N,N,Medium
3632234,Product C,Additional,2537.91,Y,Y,Y,N,N,Y,Medium
3337785,Product B,Additional,1448.12,N,Y,Y,N,N,Y,Medium
1196880,Product C,New,495,Y,Y,Y,N,Y,Y,Large
2511220,Product B,Additional,733.95,N,Y,Y,N,N,Y,Large
3267588,Product A,New,2567.88,N,N,Y,N,N,N,Small
3466988,Product B,Additional,1130.75,N,Y,Y,N,N,Y,Medium
3749587,Product C,Additional,495,Y,Y,Y,N,Y,Y,Large
2626889,Product B,Additional,1547,N,Y,N,N,N,Y,Large
1898209,Product B,New,862.1,N,N,Y,N,N,N,Medium
3235000,Product B,New,2880.38,N,N,Y,N,N,N,Medium
4183718,Product B,Additional,687.6,Y,N,Y,N,N,N,Medium
2340263,Product B,New,521.55,N,Y,Y,N,N,Y,Large
4184705,Product B,Additional,2110,N,N,N,Y,N,N,Medium
4225697,Product B,New,423,N,N,Y,Y,N,N,Large
1200042,Product C,Additional,2886,Y,Y,Y,N,N,N,Medium
3113650,Product B,Additional,5755,Y,N,Y,N,N,N,Medium
2733036,Product C,New,1681.75,Y,Y,Y,Y,N,Y,Large
2442314,Product B,Additional,375,N,N,Y,N,N,N,Large
2515240,Product B,New,798.68,N,Y,Y,N,Y,Y,Large
1503014,Product C,New,485.02,Y,Y,Y,N,N,Y,Large
2963610,Product B,New,2680,Y,N,Y,N,N,N,Medium
3080964,Product B,Additional,465.19,N,Y,Y,N,Y,Y,Large
1933122,Product A,New,310.4,Y,N,Y,N,N,N,Medium
3548081,Product C,Additional,1906.13,Y,Y,Y,N,N,Y,Large
3169139,Product B,Additional,708.1,Y,N,Y,N,N,N,Large
2157913,Product B,New,749.11,N,Y,Y,N,N,Y,Large
2173336,Product B,New,1913.3,N,Y,Y,N,N,Y,Large
2264167,Product B,Additional,448.31,N,Y,Y,N,N,Y,Large
3311468,Product A,Additional,450,Y,N,Y,Y,N,N,Medium
3124517,Product A,New,2361,N,N,Y,N,N,N,Small
3130324,Product B,Additional,1333.01,N,Y,Y,N,Y,Y,Medium
2264176,Product A,New,1099,Y,N,Y,N,N,N,Medium
3306623,Product B,Additional,692.6,Y,N,Y,N,N,N,Medium
3664225,Product B,New,2312.57,N,Y,Y,N,N,Y,Large
2480758,Product B,Additional,901.6,Y,N,Y,N,N,N,Large
2749733,Product B,New,1152.06,Y,N,Y,N,N,N,Medium
3982349,Product B,Additional,735.12,Y,N,Y,N,N,N,Medium
3033217,Product B,New,1314.22,N,Y,Y,N,N,Y,Large
3135453,Product B,New,509,N,N,Y,N,N,N,Large
2931156,Product A,Additional,2167.2,Y,Y,Y,Y,N,N,Medium
2192831,Product C,Additional,895,Y,Y,Y,N,N,Y,Large
1443668,Product B,New,375,Y,N,Y,N,N,N,Large
2422515,Product B,New,375,N,N,Y,N,N,N,Large
2306725,Product B,New,779.8,Y,Y,Y,N,N,Y,Large
3636911,Product C,New,485.02,Y,Y,Y,N,Y,Y,Large
3365525,Product B,New,509,N,N,Y,N,N,N,Large
3184359,Product A,Additional,1171.82,Y,N,N,N,N,N,Large
2511354,Product C,New,1089.51,Y,N,Y,Y,Y,N,Large
3468314,Product B,Additional,972.53,N,Y,Y,N,N,Y,Large
2630919,Product A,New,987.32,N,Y,Y,N,N,Y,Large
3939964,Product A,Additional,1913.96,Y,N,N,Y,N,N,Medium
4148437,Product B,Additional,8130,Y,N,Y,N,N,N,Small
3659712,Product C,New,887,Y,Y,Y,N,N,Y,Large
2340290,Product B,New,1038.76,N,Y,Y,N,N,Y,Large
3157453,Product B,New,292.04,N,Y,Y,N,N,N,Small-Medium
2760625,Product B,New,2113.3,Y,Y,Y,N,N,Y,Medium
2550331,Product B,Additional,705.3,Y,N,Y,N,N,N,Large
3126123,Product B,New,556.73,N,Y,Y,N,N,Y,Large
3558625,Product B,Additional,509,Y,N,Y,N,N,N,Large
2462353,Product A,Additional,618.45,N,Y,Y,N,N,Y,Large
2813964,Product B,New,1306.25,N,Y,Y,N,N,Y,Large
2552878,Product B,Additional,683.55,N,Y,N,N,N,Y,Large
3371955,Product B,New,475,Y,Y,N,N,N,Y,Large
1717246,Product C,New,1005,Y,Y,Y,N,N,Y,Large
3544143,Product C,Additional,895,Y,Y,Y,N,N,Y,Large
3185721,Product C,Additional,1500,Y,Y,Y,N,N,Y,Large
2187005,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
1196631,Product C,New,495,Y,Y,Y,N,Y,Y,Large
2273428,Product B,New,997.6,Y,N,Y,N,N,N,Medium
2306682,Product B,New,1216.43,N,Y,Y,N,N,Y,Large
3261964,Product B,New,2166,Y,N,Y,N,N,N,Medium
2469572,Product B,Additional,896.5,N,Y,Y,N,N,Y,Large
3131659,Product A,New,1920,Y,N,Y,N,N,N,Medium
3145880,Product B,New,2748.2,Y,N,Y,N,N,N,Medium
2306187,Product B,Additional,583.25,Y,N,Y,N,N,N,Large
2320590,Product B,Additional,210.42,N,Y,Y,N,N,N,Small-Medium
2499962,Product A,New,494.79,N,N,Y,N,N,N,Medium
3234622,Product A,New,1125,Y,N,N,N,N,N,Large
2817990,Product C,Additional,1201,Y,Y,Y,N,N,Y,Large
3037695,Product B,Additional,275.44,Y,N,Y,N,N,N,Large
2423747,Product C,Additional,2939.53,Y,Y,Y,N,N,Y,Large
3208709,Product B,New,2003.79,Y,N,Y,N,N,N,Medium
2321446,Product B,Additional,1836.02,Y,N,N,N,N,N,Large
3579639,Product C,Additional,2851.95,Y,Y,Y,N,N,Y,Medium
3189944,Product C,Additional,769,Y,Y,Y,Y,N,Y,Large
2512090,Product B,New,469,N,Y,Y,N,N,Y,Large
3270623,Product B,New,501.24,Y,N,Y,N,N,N,Medium
2631887,Product B,New,833.5,Y,N,Y,N,N,N,Large
4071421,Product B,New,1825.7,N,Y,Y,Y,N,Y,Medium
3696068,Product B,New,1524.75,N,N,Y,N,N,N,Medium
2219588,Product B,Additional,2693,N,Y,Y,N,N,Y,Medium
3157471,Product B,New,584.5,N,Y,Y,N,N,N,Small-Medium
3005326,Product B,Additional,675,Y,N,Y,Y,N,N,Large
4278147,Product B,Additional,2325.86,Y,Y,Y,N,N,Y,Large
4097131,Product B,Additional,841.96,Y,Y,Y,N,N,Y,Large
3559149,Product A,New,1550.58,Y,Y,Y,N,N,Y,Large
3039424,Product B,Additional,2571.06,N,N,N,N,N,N,Small
2474682,Product B,New,410.6,Y,N,Y,N,N,N,Large
1192364,Product C,Additional,485.02,Y,Y,Y,N,N,Y,Large
3311806,Product B,New,2304,Y,N,Y,N,N,N,Medium
3374929,Product C,Additional,1974,Y,N,Y,N,N,N,Medium
1618082,Product D,Additional,826.34,N,Y,Y,N,N,Y,Large
1878621,Product B,Additional,899.68,N,Y,Y,N,N,Y,Large
3086454,Product B,Additional,2742.88,Y,Y,Y,N,N,Y,Large
1181064,Product C,Additional,485.01,Y,Y,Y,N,N,Y,Large
3557748,Product B,Additional,6247.07,N,Y,Y,N,N,N,Medium
3588227,Product B,Additional,3611.97,N,N,N,N,N,N,Small
3630009,Product B,New,984.08,Y,N,Y,N,N,N,Large
3829254,Product B,Additional,500,Y,N,Y,N,N,N,Large
2029641,Product A,New,1925.66,N,Y,Y,N,N,N,Medium
2310696,Product A,Additional,1720.04,N,N,Y,N,N,N,Medium
2429287,Product B,New,491.51,N,Y,Y,N,N,N,Small-Medium
2515207,Product B,New,875,N,Y,Y,N,N,Y,Large
2335847,Product A,New,562.26,N,Y,Y,N,N,Y,Large
2336227,Product B,New,505,Y,N,Y,N,N,N,Large
2356975,Product B,New,2733.54,Y,N,Y,N,N,N,Medium
3038095,Product C,Additional,953.8,Y,Y,Y,N,N,Y,Large
3145846,Product B,New,250,Y,N,Y,N,N,N,Large
3043086,Product A,New,1530,N,N,Y,N,N,N,Medium
2856596,Product B,Additional,2450,N,N,Y,N,N,N,Small
2429768,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
3049955,Product C,Additional,640.58,Y,N,Y,N,Y,N,Large
1848669,Product D,Additional,1020.5,N,Y,Y,N,N,Y,Large
2306684,Product B,New,1622.41,N,Y,Y,N,N,Y,Large
3223958,Product C,Additional,2380.85,Y,N,Y,N,N,N,Small
2225083,Product C,Additional,817.6,Y,N,Y,N,N,N,Large
3273134,Product B,Additional,2200,Y,N,Y,N,N,N,Medium
2002928,Product B,Additional,949.64,N,Y,Y,N,Y,Y,Large
3355077,Product B,Additional,5215.31,Y,Y,Y,Y,N,Y,Medium
2239393,Product B,Additional,375,Y,N,Y,N,N,N,Large
1440233,Product B,New,375,N,N,Y,N,N,N,Large
4025354,Product B,New,1076.75,Y,N,Y,N,N,N,Medium
3159129,Product A,Additional,612.6,Y,N,Y,N,N,N,Large
3310081,Product C,Additional,462.62,Y,Y,Y,N,N,Y,Large
4298579,Product B,Additional,1463.62,Y,Y,Y,N,N,Y,Large
3308035,Product B,New,469.44,Y,N,Y,N,N,N,Medium
2924498,Product A,New,2389.77,N,Y,N,N,N,Y,Medium
3483939,Product A,Additional,1177.04,N,Y,Y,N,N,N,Large
2587364,Product B,Additional,1161.94,Y,N,Y,N,N,N,Large
1156914,Product A,Additional,571,N,N,Y,N,N,N,Medium
3321688,Product C,Additional,895,Y,Y,Y,N,N,Y,Large
3374971,Product B,New,2110.05,Y,N,Y,N,N,N,Medium
1464118,Product C,New,485.02,Y,Y,Y,N,Y,Y,Large
2052970,Product C,Additional,1812.93,Y,N,Y,N,N,N,Large
1884913,Product B,New,999,N,Y,Y,N,N,Y,Large
3549475,Product B,New,505,Y,Y,Y,N,N,Y,Large
3092882,Product D,Additional,1100,Y,Y,Y,N,Y,Y,Large
1888825,Product B,New,674.24,N,Y,Y,N,Y,Y,Large
3563671,Product A,Additional,2821.46,Y,Y,Y,Y,N,N,Large
3590550,Product A,Additional,3227.54,N,Y,Y,N,N,Y,Medium
2738752,Product A,New,175,Y,N,Y,N,N,N,Large
1445978,Product B,New,375,Y,N,Y,N,N,N,Large
2316688,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
3267114,Product D,New,3300,N,Y,Y,N,N,Y,Medium
3151754,Product A,Additional,657.03,Y,N,Y,N,N,N,Medium
2665258,Product A,Additional,598.19,Y,N,Y,N,N,N,Large
2368949,Product B,Additional,950,N,Y,Y,N,N,Y,Large
3461417,Product B,New,1010.85,Y,Y,N,N,Y,Y,Large
2500425,Product A,New,840,Y,N,Y,N,N,N,Medium
3981427,Product B,Additional,1149.95,N,Y,Y,N,N,Y,Medium
3038961,Product C,Additional,1090.38,Y,Y,Y,N,N,Y,Large
3151755,Product B,Additional,1119.85,N,Y,Y,N,N,Y,Large
2254935,Product B,Additional,375,Y,N,Y,N,N,N,Large
3512209,Product B,Additional,5630.66,Y,N,Y,N,N,N,Large
2306709,Product B,New,620.69,N,Y,Y,N,N,Y,Large
3224623,Product B,Additional,1094.39,N,Y,Y,N,N,Y,Large
3312621,Product A,Additional,2070,N,Y,Y,Y,N,N,Small
3899169,Product A,New,4819.14,N,N,Y,N,N,N,Small
2029542,Product C,Additional,3492,Y,N,Y,N,Y,N,Medium
2774684,Product B,Additional,1321.36,Y,N,Y,N,N,N,Medium
2254847,Product A,Additional,1032.58,N,Y,Y,N,N,Y,Large
3070821,Product C,Additional,1199,Y,Y,Y,N,N,Y,Large
4049658,Product B,Additional,1043.35,Y,Y,Y,N,N,Y,Large
2229309,Product B,New,973.64,Y,N,N,Y,N,N,Medium
2369669,Product B,Additional,950,N,Y,Y,N,N,Y,Large
3322410,Product B,Additional,833.5,Y,N,Y,N,N,N,Medium
3310148,Product C,Additional,927.43,Y,Y,Y,N,N,Y,Large
3135493,Product B,New,1010.85,N,Y,Y,N,N,Y,Large
1848910,Product D,Additional,1027.15,N,Y,Y,N,N,Y,Large
3507169,Product B,Additional,495,N,Y,Y,N,N,Y,Large
2484003,Product B,New,8568.19,N,N,Y,N,N,N,Small
3323413,Product B,New,271.6,Y,N,Y,Y,N,N,Medium
2393809,Product B,Additional,987.2,N,Y,Y,N,N,Y,Large
1164202,Product C,New,2157.22,Y,Y,Y,N,Y,N,Large
2054683,Product B,New,950,N,Y,Y,N,N,Y,Large
1888479,Product B,New,866.22,N,Y,Y,N,Y,Y,Large
3549520,Product A,New,1074.98,Y,Y,Y,N,N,Y,Medium
3093626,Product B,Additional,951.27,N,Y,Y,N,N,Y,Large
1888836,Product B,New,168.73,Y,N,Y,N,N,N,Large
3585848,Product A,New,470,N,Y,Y,N,N,Y,Large
3590626,Product B,Additional,1338.75,Y,Y,Y,N,N,Y,Large
2052986,Product B,Additional,628.71,N,Y,Y,N,N,Y,Large
1854824,Product A,Additional,2651.58,N,Y,Y,N,N,N,Medium
2709806,Product A,New,450,Y,N,Y,N,N,N,Medium
3201627,Product B,New,1605.4,Y,N,Y,N,N,N,Medium
3032889,Product B,New,859.11,Y,N,N,N,Y,N,Large
2435709,Product C,New,1592.77,Y,N,Y,N,N,N,Large
3156899,Product B,New,470.15,N,N,N,Y,N,N,Medium
3590577,Product B,Additional,1040.49,Y,N,Y,N,Y,N,Large
2920954,Product B,Additional,548.68,Y,N,Y,N,N,N,Large
2510522,Product B,Additional,594.43,N,Y,Y,Y,N,Y,Large
2962442,Product B,Additional,950,N,Y,Y,N,N,Y,Large
2552190,Product B,Additional,708.1,Y,N,Y,N,N,N,Large
3069808,Product B,New,559.15,Y,N,Y,N,N,N,Large
2892958,Product B,Additional,1332.29,N,N,Y,N,N,N,Medium
2029584,Product D,Additional,2263.8,N,Y,Y,N,N,Y,Medium
2319809,Product C,Additional,762.44,Y,N,N,N,N,N,Large
3224563,Product A,Additional,1495.96,N,Y,Y,N,N,Y,Large
2296019,Product B,New,395,Y,N,Y,N,N,N,Large
3907213,Product B,New,842.9,Y,N,Y,Y,N,N,Large
3809659,Product B,Additional,1699.45,N,Y,Y,N,N,Y,Medium
2955870,Product C,Additional,1950.6,Y,N,Y,N,N,N,Medium
2994912,Product B,Additional,1657.6,Y,N,Y,N,N,N,Medium
2306763,Product B,New,779.8,N,Y,Y,N,N,Y,Large
1193787,Product C,Additional,1170.49,Y,Y,Y,N,Y,Y,Large
2405493,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
1138293,Product B,Additional,983.28,N,Y,Y,N,N,Y,Large
3313071,Product A,New,298,Y,N,Y,N,N,N,Medium
3507187,Product B,Additional,661,N,Y,Y,N,N,Y,Large
3044924,Product B,Additional,784.5,N,Y,Y,N,N,Y,Large
2499849,Product C,Additional,462.62,Y,Y,Y,N,N,Y,Large
2238134,Product C,Additional,822.36,Y,N,Y,N,N,N,Large
2840300,Product A,Additional,1328,N,N,Y,N,N,N,Medium
2219756,Product C,Additional,1691.95,Y,N,Y,Y,N,N,Large
2071789,Product C,Additional,1516.72,Y,Y,Y,Y,N,Y,Medium
1888717,Product B,New,926.15,N,Y,Y,N,Y,Y,Large
3558615,Product B,Additional,509,Y,N,Y,N,N,N,Large
1952803,Product B,New,798.68,N,Y,Y,N,Y,Y,Large
1888849,Product B,New,258.3,Y,N,Y,N,N,N,Large
3596575,Product C,Additional,1649.19,Y,Y,N,N,N,Y,Large
2790040,Product D,New,1490.11,N,Y,Y,N,Y,Y,Large
1892856,Product C,Additional,898.55,Y,N,Y,N,N,N,Medium
2733041,Product B,New,1377.6,N,N,Y,N,N,N,Medium
1864107,Product C,New,1479.87,Y,Y,Y,N,N,Y,Large
2071762,Product B,New,875,N,Y,Y,N,N,Y,Large
3203050,Product B,New,928.4,Y,N,Y,N,N,N,Medium
1190070,Product D,Additional,1100,Y,N,Y,N,Y,N,Large
2375177,Product C,Additional,891.98,Y,N,Y,N,N,N,Large
2054708,Product B,New,950,N,Y,Y,N,N,Y,Large
3157462,Product B,New,896.13,N,Y,Y,N,N,N,Small-Medium
2968976,Product B,New,580,Y,N,Y,N,N,N,Large
3590604,Product C,New,2111.5,Y,N,Y,N,Y,N,Medium
2073673,Product B,New,1087.33,N,Y,Y,N,N,Y,Large
2920983,Product C,Additional,495,Y,Y,Y,N,Y,Y,Large
2396507,Product B,Additional,871.21,N,Y,Y,N,Y,Y,Large
3472954,Product B,Additional,3105,N,N,Y,N,N,N,Small
1196672,Product C,New,495,Y,Y,Y,N,Y,Y,Large
2671620,Product A,New,791.5,Y,N,N,N,N,N,Large
2168719,Product B,Additional,375,N,N,Y,N,N,N,Large
3069748,Product B,Additional,2581.6,N,Y,Y,N,N,Y,Medium
2559030,Product A,New,197.88,Y,N,Y,N,N,N,Medium
1198980,Product C,Additional,1653.14,Y,Y,Y,N,N,Y,Large
3076199,Product A,Additional,1815,N,Y,N,N,N,N,Large
2894212,Product C,Additional,1995,Y,N,Y,N,N,N,Medium
2935208,Product C,Additional,1519.95,Y,Y,Y,N,N,N,Large
3512922,Product B,Additional,3000,N,Y,Y,N,N,N,Medium
2039677,Product A,Additional,1805.5,N,N,Y,N,N,N,Medium
3472027,Product B,Additional,800.5,Y,Y,Y,N,N,Y,Large
3228890,Product B,New,1005.3,Y,N,Y,N,N,N,Large
2300565,Product B,Additional,1648.65,N,Y,Y,N,N,Y,Medium
1653813,Product C,New,485.02,Y,Y,Y,N,Y,Y,Large
3910353,Product A,New,669.16,N,N,Y,N,N,N,Large
3819420,Product C,Additional,495,Y,Y,Y,N,N,Y,Large
2781073,Product B,Additional,866.14,N,Y,Y,N,N,N,Large
2637787,Product B,Additional,613.11,N,Y,Y,N,N,Y,Large
1899796,Product C,Additional,1960.67,Y,Y,Y,N,N,Y,Medium
3076830,Product C,Additional,763.51,Y,N,Y,N,N,N,Medium
2307625,Product B,Additional,375,Y,N,Y,N,N,N,Large
2693241,Product D,Additional,1693,Y,N,Y,N,N,N,Medium
3261375,Product D,Additional,1198.42,Y,N,Y,N,N,N,Medium
